   entry state, s94
    exit state, s54
default output, o09

              , next state, ,,, output
 current state, e08, e33, e96,   , e08, e33, e96
s11           , s95, s81, s11,   ,o09, o34, o09
s20           , s62, s65, s20,   ,o09, o34, o09
s42           , s84, s71, s62,   ,o34, o34, o34
s54           , s62, s63, s71,   ,o09, o09, o34
s62           , s11, s20, s71,   ,o34, o09, o34
s63           , s80, s71, s72,   ,o09, o34, o09
s65           , s79, s72, s84,   ,o34, o34, o34
s71           , s71, s11, s62,   ,o09, o34, o34
s72           , s20, s42, s84,   ,o09, o09, o34
s79           , s11, s79, s42,   ,o09, o34, o09
s80           , s65, s65, s20,   ,o34, o09, o09
s81           , s72, s42, s94,   ,o09, o34, o34
s84           , s54, s81, s72,   ,o34, o09, o34
s94           , s94, s72, s62,   ,o34, o34, o34
s95           , s95, s63, s81,   ,o34, o09, o09
