   entry state, s70
    exit state, s09
default output, o71

              , next state, ,,, output
 current state, e18, e83, e88,   , e18, e83, e88
s00           , s27, s51, s34,   ,o71, o71, o71
s07           , s00, s00, s89,   ,o59, o59, o71
s09           , s89, s10, s76,   ,o71, o59, o59
s10           , s12, s51, s09,   ,o59, o71, o59
s12           , s07, s27, s55,   ,o59, o59, o59
s27           , s50, s27, s55,   ,o59, o71, o71
s34           , s12, s44, s55,   ,o59, o59, o59
s44           , s50, s92, s51,   ,o71, o71, o59
s50           , s51, s34, s76,   ,o71, o71, o71
s51           , s00, s09, s70,   ,o71, o59, o59
s55           , s76, s09, s55,   ,o71, o59, o59
s70           , s51, s70, s70,   ,o59, o71, o59
s76           , s70, s55, s34,   ,o59, o71, o59
s89           , s76, s27, s00,   ,o71, o71, o71
s92           , s10, s55, s92,   ,o59, o71, o71
